Failed to import warp: No module named 'warp'
Failed to import mujoco_warp: No module named 'warp'
================================================================
APOLLO HUMANOID - STAGE 2: NATURAL STAND & LOCOMOTION (v9)
112-dim Base Frame Obs | Stand-Still Reward | Linear Actor
JAX Backend: gpu
Devices: [CudaDevice(id=0)]
z_nominal=1.0160m | TERM_HEIGHT=0.762m | ACTION_SCALE=0.15
OBS_DIM=112 | CTRL_DT=0.01s | step_freq=1.2Hz
[v9 CONFIG] Envs=4096 | Rollout=24 | Steps/iter=98,304 | Total iters=1525
[v9 CONFIG] Obs=112 | ActionScale=0.15 | Total steps=150,000,000
Starting training loop at 2026-09-10 17:47:34...
[0039/1525] steps=3,833,856 | rew=0.08276 | loss=0.2113 | sps=7,147 | ent=0.0093 | log_std=-1.905 | t=852s *** BALANCED WALKING ***
[0040/1525] steps=3,932,160 | rew=0.08226 | loss=0.1926 | sps=7,067 | ent=0.0093 | log_std=-1.902 | t=866s *** BALANCED WALKING ***
[0041/1525] steps=4,030,464 | rew=0.08218 | loss=0.1825 | sps=7,201 | ent=0.0093 | log_std=-1.899 | t=880s *** BALANCED WALKING ***
[0042/1525] steps=4,128,768 | rew=0.08249 | loss=0.1724 | sps=7,205 | ent=0.0093 | log_std=-1.896 | t=894s *** BALANCED WALKING ***
[0043/1525] steps=4,227,072 | rew=0.08330 | loss=0.1719 | sps=7,200 | ent=0.0092 | log_std=-1.893 | t=907s *** BALANCED WALKING ***
[0044/1525] steps=4,325,376 | rew=0.08399 | loss=0.1734 | sps=7,198 | ent=0.0092 | log_std=-1.890 | t=921s *** BALANCED WALKING ***
[0045/1525] steps=4,423,680 | rew=0.08450 | loss=0.1732 | sps=7,163 | ent=0.0092 | log_std=-1.888 | t=935s *** BALANCED WALKING ***
[0046/1525] steps=4,521,984 | rew=0.08511 | loss=0.1783 | sps=7,163 | ent=0.0092 | log_std=-1.885 | t=949s *** BALANCED WALKING ***
[0047/1525] steps=4,620,288 | rew=0.08502 | loss=0.1821 | sps=7,076 | ent=0.0092 | log_std=-1.882 | t=962s *** BALANCED WALKING ***
[0048/1525] steps=4,718,592 | rew=0.08554 | loss=0.1909 | sps=7,081 | ent=0.0092 | log_std=-1.879 | t=976s *** BALANCED WALKING ***
[0049/1525] steps=4,816,896 | rew=0.08596 | loss=0.2232 | sps=7,167 | ent=0.0091 | log_std=-1.876 | t=990s *** BALANCED WALKING ***
[0050/1525] steps=4,915,200 | rew=0.08566 | loss=0.3034 | sps=7,172 | ent=0.0091 | log_std=-1.873 | t=1004s *** BALANCED WALKING ***
[0051/1525] steps=5,013,504 | rew=0.08363 | loss=0.3110 | sps=7,143 | ent=0.0091 | log_std=-1.871 | t=1018s *** BALANCED WALKING ***
[0052/1525] steps=5,111,808 | rew=0.08003 | loss=0.3093 | sps=7,173 | ent=0.0091 | log_std=-1.869 | t=1031s *** BALANCED WALKING ***
[0053/1525] steps=5,210,112 | rew=0.07532 | loss=0.3283 | sps=7,154 | ent=0.0091 | log_std=-1.867 | t=1045s stepping
[0054/1525] steps=5,308,416 | rew=0.07165 | loss=0.3202 | sps=7,090 | ent=0.0090 | log_std=-1.865 | t=1059s stepping
[0055/1525] steps=5,406,720 | rew=0.07155 | loss=0.2857 | sps=7,044 | ent=0.0090 | log_std=-1.864 | t=1073s stepping
[0056/1525] steps=5,505,024 | rew=0.07347 | loss=0.2749 | sps=7,191 | ent=0.0090 | log_std=-1.862 | t=1087s stepping
[0057/1525] steps=5,603,328 | rew=0.07536 | loss=0.3024 | sps=7,159 | ent=0.0090 | log_std=-1.860 | t=1100s stepping
[0058/1525] steps=5,701,632 | rew=0.07684 | loss=0.2659 | sps=7,197 | ent=0.0090 | log_std=-1.858 | t=1114s stepping
[0059/1525] steps=5,799,936 | rew=0.07687 | loss=0.2342 | sps=7,187 | ent=0.0090 | log_std=-1.856 | t=1128s stepping
[0060/1525] steps=5,898,240 | rew=0.07626 | loss=0.1999 | sps=7,180 | ent=0.0089 | log_std=-1.854 | t=1141s stepping
[0061/1525] steps=5,996,544 | rew=0.07573 | loss=0.1950 | sps=7,188 | ent=0.0089 | log_std=-1.852 | t=1155s stepping
[0062/1525] steps=6,094,848 | rew=0.07582 | loss=0.1976 | sps=7,067 | ent=0.0089 | log_std=-1.850 | t=1169s stepping
